,date,cof_cost,bn_cost,pk_cost,cof_vol,bn_vol,pk_vol
232,2021- 10- 28,202.7,1233.75,75.2,13320.0,73200.0,21870.0
233,2021- 10- 27,204.05,1239.25,71.97,16740.0,122470.0,15610.0
234,2021- 10- 26,210.7,1238.0,72.57,11330.0,94350.0,14550.0
235,2021- 10- 25,205.15,1237.25,74.2,14380.0,137470.0,11040.0
236,2021- 10- 22,202.6,1220.5,73.32,8970.0,176320.0,17060.0
237,2021- 10- 21,206.15,1224.0,73.2,19990.0,105790.0,22860.0
238,2021- 10- 20,208.35,1245.5,76.03,11060.0,134400.0,18610.0
239,2021- 10- 19,207.0,1228.0,77.4,9190.0,139460.0,11370.0
240,2021- 10- 18,204.35,1221.5,78.75,13300.0,99060.0,10970.0
241,2021- 10- 15,206.25,1217.75,78.28,7580.0,111810.0,13470.0
242,2021- 10- 14,212.15,1206.25,88.2,4720.0,127040.0,2300.0
243,2021- 10- 13,211.6,1195.25,88.65,10050.0,186730.0,2810.0
244,2021- 10- 12,216.05,1198.25,89.07,11150.0,183780.0,3500.0
245,2021- 10- 11,207.2,1228.25,89.95,5070.0,112210.0,2560.0
246,2021- 10- 08,204.25,1243.0,90.25,8410.0,143590.0,2980.0
247,2021- 10- 07,200.8,1247.25,89.85,11230.0,120770.0,4800.0
248,2021- 10- 06,196.4,1242.0,89.62,3630.0,83890.0,5260.0
249,2021- 10- 05,194.85,1250.5,90.97,9740.0,119390.0,4150.0
250,2021- 10- 04,203.25,1235.75,90.8,6610.0,111360.0,7340.0
251,2021- 10- 01,206.9,1246.5,92.3,11980.0,117450.0,4420.0
252,2021- 09- 30,196.8,1256.0,91.6,7850.0,202390.0,5040.0
253,2021- 09- 29,196.25,1283.75,90.8,4420.0,91810.0,6880.0
254,2021- 09- 28,201.45,1277.0,91.67,5820.0,88020.0,12050.0
255,2021- 09- 27,196.45,1287.5,90.25,4520.0,96610.0,9330.0
256,2021- 09- 24,197.15,1285.0,87.28,5940.0,64910.0,10970.0
257,2021- 09- 23,193.4,1284.25,84.75,7200.0,70610.0,7100.0
258,2021- 09- 22,187.65,1282.75,83.85,4059.9999999999995,75670.0,6430.0
259,2021- 09- 21,186.15,1274.0,84.38,5490.0,78940.0,7410.0
260,2021- 09- 20,182.6,1262.5,84.97,15530.0,94110.0,9870.0
261,2021- 09- 17,186.4,1284.0,85.72,18120.0,72390.0,11550.0
262,2021- 09- 16,188.15,1296.0,85.47,15020.0,75850.0,20620.0
263,2021- 09- 15,187.35,1294.5,82.28,13070.0,91390.0,20840.0
264,2021- 09- 14,185.45,1276.5,80.38,16980.0,50.0,29730.0
265,2021- 09- 13,186.8,1272.5,80.78,14740.0,20.0,37240.0
266,2021- 09- 10,188.05,1275.25,82.45,14290.0,50.0,39980.0
267,2021- 09- 09,187.45,1258.75,85.47,20900.0,180.0,40110.0
268,2021- 09- 08,190.2,1270.75,87.38,16840.0,30.0,30330.0
269,2021- 09- 07,193.95,1268.75,88.1,17340.0,30.0,19550.0
270,2021- 09- 03,193.0,1283.0,89.58,17600.0,60.0,12480.0
271,2021- 09- 02,194.35,1279.25,89.85,18280.0,350.0,14770.0
272,2021- 09- 01,195.65,1277.75,90.15,17350.0,660.0,19570.0
273,2021- 08- 31,195.9,1298.75,88.8,28550.0,1680.0,19430.0
274,2021- 08- 30,199.9,1304.75,90.15,23590.0,7250.0,16250.0
275,2021- 08- 27,192.2,1359.25,90.72,22570.0,16510.0,23060.0
276,2021- 08- 26,188.0,1367.5,87.9,12970.0,23770.0,14080.0
277,2021- 08- 25,186.35,1346.0,88.75,14860.0,24440.0,15950.0
278,2021- 08- 24,185.75,1337.0,86.97,16930.0,25600.0,16510.0
279,2021- 08- 23,181.85,1294.0,87.47,10290.0,13920.0,16059.999999999998
280,2021- 08- 20,181.5,1293.75,88.62,21590.0,18270.0,17720.0
281,2021- 08- 19,181.3,1323.0,86.92,27040.0,17630.0,17600.0
282,2021- 08- 18,182.85,1358.25,89.1,16800.0,10180.0,13400.0
283,2021- 08- 17,182.0,1369.0,87.9,28840.0,12020.0,13390.0
