,date,cu_cost,oil_cost,gas_cost,wheat_cost,al_cost,cu_vol,wheat_vol,gas_vol,oil_vol,al_vol,kospi_cost,kospi_vol,kospi200_cost,kospi200_vol,kosdaq_cost,kosdaq_vol,kosdaq100_cost,kosdaq100_vol,cof_cost,bn_cost,pk_cost,cof_vol,bn_vol,pk_vol
87,2022- 06- 06,4.439,105.92,9.322,1093.0,2782.5,420.0,60710.0,129100.0,46040.0,44100.0,,,,,,,,,237.65,1699.25,109.22,22230.0,82280.0,7400.0
88,2022- 06- 03,4.4765,105.91,8.523,1040.0,,90.0,,75230.0,40170.0,,2670.65,562470000.0,352.01,134650000.0,891.51,1200000000.0,1756.34,30030000.0,232.55,1697.75,110.2,12670.0,,4290.0
89,2022- 06- 02,4.555,104.21,8.485,1058.25,,650.0,,119010.0,75960.0,,2658.99,525260000.0,350.51,196090000.0,891.14,1180000000.0,1763.75,27470000.0,238.25,1729.25,110.05,14710.0,,4410.0
90,2022- 06- 01,4.3295,102.72,8.696,1041.25,2726.0,160.0,,111960.0,64459.99999999999,57000.0,,,,,,,,,239.4,1690.25,109.8,18910.0,,6620.0
91,2022- 05- 31,4.299,101.42,8.145,1087.5,2787.0,590.0,68160.0,125480.0,89180.0,40090.0,2685.9,671680000.0,354.54,266680000.0,893.36,1320000000.0,1780.25,42590000.0,231.45,1683.25,107.97,15970.0,147010.0,6980.0
92,2022- 05- 30,4.334,117.61,8.686,1155.38,2888.5,,,,,,2669.66,469800000.0,352.49,151010000.0,886.44,1020000000.0,1762.47,40380000.0,,,,,,
93,2022- 05- 29,4.3232,115.61,8.815,,,,,,,,,,,,,,,,,,,,,
94,2022- 05- 27,4.3065,102.05,8.727,1157.5,2871.5,280.0,25540.0,107090.0,38870.0,23680.0,2638.05,590810000.0,348.04,133070000.0,873.97,1280000000.0,1734.08,43810000.0,229.7,1732.25,110.4,8480.0,93350.0,6560.0
95,2022- 05- 26,4.259,101.21,8.908,1143.25,2865.0,41960.0,38510.0,1470.0,57920.0,23780.0,2612.45,595850000.0,344.26,126450000.0,871.43,947420000.0,1734.02,56360000.0,226.8,1726.5,111.1,9540.0,144070.0,8300.0
96,2022- 05- 25,4.2545,98.56,8.971,1148.25,2874.0,44200.0,,37390.0,34260.0,32050.0,2617.22,712610000.0,345.6,125140000.0,872.69,989300000.0,1743.15,49260000.0,217.3,1681.0,109.05,12070.0,,8250.0
97,2022- 05- 24,4.305,97.86,8.796,1154.75,2901.5,45140.0,,31660.0,46400.0,30170.0,2605.87,851240000.0,344.08,151000000.0,865.07,1100000000.0,1717.27,51480000.0,213.95,1693.0,109.03,8039.999999999999,,9060.0
98,2022- 05- 23,4.3455,97.69,8.744,1190.0,2956.0,50500.0,,65550.0,39300.0,35610.0,2647.38,644200000.0,350.34,183160000.0,883.59,1080000000.0,1763.25,57530000.0,215.95,1687.0,110.38,6630.0,,8880.0
99,2022- 05- 20,4.275,96.7,8.083,1168.75,2946.0,45490.0,,85460.0,37650.0,40390.0,2639.29,755650000.0,349.29,133210000.0,879.88,1080000000.0,1748.92,40870000.0,216.0,1705.25,108.88,7190.0,,12400.0
100,2022- 05- 19,4.283,96.71,8.308,1200.5,2906.5,56570.0,54780.0,90580.0,74950.0,33060.0,2592.34,677600000.0,343.24,196530000.0,863.8,1170000000.0,1699.46,41320000.0,218.8,1690.5,105.3,8650.0,102890.0,6220.0
101,2022- 05- 18,4.1785,94.48,8.368,1230.75,2857.5,45560.0,,80720.0,76330.0,33800.0,2625.98,870270000.0,348.34,166290000.0,871.57,1060000000.0,1714.11,41840000.0,217.6,1662.75,106.1,18110.0,,11260.0
102,2022- 05- 17,4.239,97.22,8.304,1277.5,2890.5,45160.0,,76670.0,60450.0,42270.0,2620.44,873520000.0,347.53,171090000.0,865.98,913810000.0,1693.12,39960000.0,227.2,1678.0,105.15,18760.0,,14700.0
103,2022- 05- 16,4.1915,98.99,7.956,1247.5,2832.0,41780.0,,93520.0,59010.0,29610.0,2596.58,780200000.0,343.94,231880000.0,856.25,1010000000.0,1661.62,46670000.0,224.8,1656.5,103.83,22290.0,,15710.0
104,2022- 05- 13,4.175,97.85,7.663,1167.25,2788.0,49920.0,0.0,85040.0,45890.0,37940.0,2604.24,788540000.0,345.5,187360000.0,853.08,1010000000.0,1661.54,52870000.0,213.9,1646.5,100.0,19970.0,,560.0
105,2022- 05- 12,4.1005,95.19,7.739,1174.5,2742.0,67530.0,160.0,107060.0,61700.0,46720.0,2550.08,900330000.0,337.94,262820000.0,833.66,1070000000.0,1610.56,47640000.0,215.3,1613.75,100.1,18990.0,,290.0
106,2022- 05- 11,4.209,95.4,7.64,1108.75,2778.0,54180.0,50.0,120930.0,69310.0,44510.0,2592.27,679510000.0,343.44,184520000.0,866.34,1080000000.0,1689.14,35700000.0,219.9,1606.75,100.92,29970.0,,240.0
107,2022- 05- 10,4.1545,90.95,7.385,1083.25,2753.5,57710.0,40.0,185460.0,75400.0,44150.0,2596.56,841460000.0,343.67,249370000.0,856.14,1270000000.0,1654.12,41210000.0,203.8,1592.25,101.08,16180.0,,300.0
108,2022- 05- 09,4.1935,93.53,7.026,1092.75,2755.0,68330.0,37350.0,202620.0,74040.0,51520.0,2610.81,892650000.0,345.41,256540000.00000003,860.84,1120000000.0,1664.53,32060000.000000004,206.1,1585.25,100.88,23740.0,96280.0,580.0
109,2022- 05- 06,4.267,98.73,8.043,1108.5,2842.0,47860.0,39580.0,168300.0,66400.0,48510.0,2644.51,1330000000.0,349.0,622950000.0,884.22,1140000000.0,1710.38,36840000.0,210.45,1622.0,102.2,25900.0,74870.0,500.0
110,2022- 05- 05,4.2915,97.31,8.783,1106.5,2916.0,61500.0,47810.0,160160.0,67830.0,48400.0,,,,,,,,,217.25,1647.0,102.8,14910.0,81210.0,170.0
111,2022- 05- 04,4.338,97.04,8.415,1076.5,2953.0,50390.0,44200.0,132320.0,55740.0,34420.0,2677.57,1180000000.0,353.85,279180000.0,900.06,1360000000.0,1753.54,42860000.0,220.8,1646.12,102.6,14530.0,,420.0
